Question,Chance1_model1,Prediction1_model1,Chance2_model1,Prediction2_model1,Chance3_model1,Prediction3_model1,Chance1_model2,Prediction1_model2,Chance2_model2,Prediction2_model2,Chance3_model2
What is your favorite outdoor activity?,0.0622607742870468,276-docs-assets-events-.md,0.0499153296737061,101-docs-automation-triggers-audience-node-.md,0.0463832979796571,336-docs-crm-crm-profile-.md,0.7331978529691696,255-docs-campaign-recommendations-v2-creating-recommendation-campaign-.md,0.7253553420305252,276-docs-assets-events-.md,0.7216304987668991
Have you ever been skydiving or would you be willing to try it?,0.053195972580732,96-docs-automation-introduction-to-automation-.md,0.0367062289371932,323-docs-predictions-predictions-introduction-.md,0.0222481618329918,301-docs-assets-imports-introduction-to-imports-.md,0.6796862185001373,255-docs-campaign-recommendations-v2-creating-recommendation-campaign-.md,0.6778126060962677,364-docs-settings-identity-access-management-single-sign-on-tutorials-setup-sso-azure-ad-.md,0.6739890277385712
"If you could have any animal as a pet, what would you choose?",0.0919012380308948,91-docs-analytics-i_profile-filter-.md,0.0538799442220822,89-docs-analytics-analytics-scenarios-connecting-events-in-crm-.md,0.0479459220679255,241-docs-campaign-screen-views-whats-new-.md,0.727568194270134,92-docs-analytics-i_events-parameter-operators-.md,0.7240673154592514,237-docs-campaign-Webpush-two-step-agreement-form-.md,0.7080468535423279
What is your go-to comfort food?,0.0,99-docs-automation-triggers-.md,0.0,98-docs-automation-creating-automation-.md,0.0,97-docs-automation-automation-dictionary-.md,0.726659968495369,257-docs-campaign-recommendations-v2-creating-attribute-recommendations-.md,0.7147892564535141,255-docs-campaign-recommendations-v2-creating-recommendation-campaign-.md,0.5302678397328175
Do you prefer reading physical books or e-books?,0.1107894788680479,281-docs-assets-events-importing-events-.md,0.0477267334594146,30-docs-analytics-segmentations-introduction-to-segmentations-.md,0.0389174770607139,264-docs-campaign-personalized-promotions-introduction-to-ai-promotions-.md,0.7451529800891876,255-docs-campaign-recommendations-v2-creating-recommendation-campaign-.md,0.7315259426832199,248-docs-campaign-promotions-creating-promotions-.md,0.7310983687639236
"If you had the opportunity to travel to space, would you go?",0.1256252762623684,47-docs-analytics-metrics-adding-metrics-to-dashboards-.md,0.0540071649907062,56-docs-analytics-reports-introduction-to-reports-.md,0.0385376916886787,8-docs-ai-search-configuring-ai-search-index-settings-define-language-and-separators-.md,0.693012461066246,255-docs-campaign-recommendations-v2-creating-recommendation-campaign-.md,0.6868260502815247,350-docs-settings-identity-access-management-users-.md,0.6862097382545471
What is one hobby or skill you've always wanted to learn?,0.0854405791200551,15-docs-analytics-.md,0.0732394568589524,281-docs-assets-events-importing-events-.md,0.0687817596828505,201-docs-campaign-.md,0.7467233836650848,255-docs-campaign-recommendations-v2-creating-recommendation-campaign-.md,0.732614055275917,15-docs-analytics-.md,0.7163332253694534
Do you prefer the beach or the mountains for a vacation?,0.0479294434150197,30-docs-analytics-segmentations-introduction-to-segmentations-.md,0.0390827714245937,264-docs-campaign-personalized-promotions-introduction-to-ai-promotions-.md,0.0337794895500195,29-docs-analytics-segmentations-.md,0.7072676867246628,222-docs-campaign-Mobile-mandatory_upgrade-.md,0.6964626908302307,239-docs-campaign-Webpush-creating-webpush-campaigns-.md,0.6963555365800858
What is your favorite season and why?,0.0905611997488494,178-docs-automation-integration-trustmate-.md,0.0448211708092995,288-docs-assets-events-event-reference-items-.md,0.0412256767509665,179-docs-automation-integration-trustmate-get-survey-link-.md,0.7194971442222595,335-docs-crm-client-list-.md,0.702524796128273,373-docs-settings-tool-magento-integration-multistore-support-.md,0.5089924158267485
"If you could have dinner with any historical figure, who would it be and why?",0.0573959453982388,323-docs-predictions-predictions-introduction-.md,0.055078963230933,329-docs-predictions-previewing-predictions-.md,0.0466091086934708,241-docs-campaign-screen-views-whats-new-.md,0.7015151828527451,390-docs-settings-report-.md,0.6994643360376358,255-docs-campaign-recommendations-v2-creating-recommendation-campaign-.md,0.692114844918251
What is your favorite hobby and why?,0.0368698463123171,288-docs-assets-events-event-reference-items-.md,0.0287763639250359,276-docs-assets-events-.md,0.0151991925442302,259-docs-campaign-recommendations-v2-recommendation-filters-examples-.md,0.7336729466915131,255-docs-campaign-recommendations-v2-creating-recommendation-campaign-.md,0.7330491244792938,15-docs-analytics-.md,0.7290483564138412
What is your favorite type of cuisine and why?,0.047992094459616,288-docs-assets-events-event-reference-items-.md,0.0286218558524945,92-docs-analytics-i_events-parameter-operators-.md,0.0281451412773269,276-docs-assets-events-.md,0.760440468788147,257-docs-campaign-recommendations-v2-creating-attribute-recommendations-.md,0.7288223654031754,390-docs-settings-report-.md,0.5464326919750335
"If you could travel anywhere in the world, where would you go?",0.0801345325211598,169-docs-automation-integration-microsoft-teams-.md,0.0694142579764082,176-docs-automation-integration-slack-.md,0.0440648196726427,241-docs-campaign-screen-views-whats-new-.md,0.7218222916126251,104-docs-automation-triggers-scheduled-run-.md,0.7579378187656403,1-docs-ai-search-configuring-ai-search-.md,0.7167739272117615
Do you prefer cats or dogs? Why?,0.0589784241957945,30-docs-analytics-segmentations-introduction-to-segmentations-.md,0.0480923646842232,264-docs-campaign-personalized-promotions-introduction-to-ai-promotions-.md,0.0415665386836965,29-docs-analytics-segmentations-.md,0.7167210727930069,222-docs-campaign-Mobile-mandatory_upgrade-.md,0.7146656513214111,107-docs-automation-conditions-client-filter-node-.md,0.7108271569013596
"What book are you currently reading, and would you recommend it?",0.1504178460607975,281-docs-assets-events-importing-events-.md,0.1468448919272557,250-docs-campaign-recommendations-v2-.md,0.1460905101904211,262-docs-campaign-recommendations-v2-distributing-recommendations-.md,0.8114899694919586,255-docs-campaign-recommendations-v2-creating-recommendation-campaign-.md,0.727245882153511,255-docs-campaign-recommendations-v2-creating-recommendation-campaign-.md,0.5311348640157665
"If you had one superpower, what would it be and how would you use it?",0.0737064189731893,323-docs-predictions-predictions-introduction-.md,0.0634572026380518,301-docs-assets-imports-introduction-to-imports-.md,0.048255930104584,4-docs-ai-search-configuring-ai-search-query-rules-.md,0.7471833229064941,65-docs-analytics-sankey-charts-previewing-sankey-charts-.md,0.7459780126810074,280-docs-assets-events-event-settings-.md,0.7267166376113892
"Are you a morning person or a night owl, and how does it impact your productivity?",0.0828879281922557,265-docs-campaign-personalized-promotions-creating-ai-promotions-.md,0.0811960297468827,263-docs-campaign-personalized-promotions-.md,0.0734632582168703,203-docs-campaign-e-mail-introduction-to-email-campaigns-.md,0.7409723997116089,114-docs-automation-flow-control-optimize-time-.md,0.7279304414987564,389-docs-settings-configuration-time-optimizer-.md,0.7252621948719025
What is your favorite leisure activity to relax and unwind?,0.0421739951964673,276-docs-assets-events-.md,0.0338114791856505,101-docs-automation-triggers-audience-node-.md,0.0314189633616128,336-docs-crm-crm-profile-.md,0.7387493699789047,65-docs-analytics-sankey-charts-previewing-sankey-charts-.md,0.7371986657381058,255-docs-campaign-recommendations-v2-creating-recommendation-campaign-.md,0.7268530428409576
What is your favorite cuisine?,0.0368698463123171,288-docs-assets-events-event-reference-items-.md,0.0287763639250359,276-docs-assets-events-.md,0.0151991925442302,259-docs-campaign-recommendations-v2-recommendation-filters-examples-.md,0.7443234622478485,257-docs-campaign-recommendations-v2-creating-attribute-recommendations-.md,0.7438338696956635,102-docs-automation-triggers-client-event-node-.md,0.7424256801605225
Have you ever been skydiving?,0.0,99-docs-automation-triggers-.md,0.0,98-docs-automation-creating-automation-.md,0.0,97-docs-automation-automation-dictionary-.md,0.681042030453682,390-docs-settings-report-.md,0.6727554053068161,26-docs-analytics-funnels-previewing-funnels-.md,0.4959108793688382
What book are you currently reading?,0.1835696743171807,281-docs-assets-events-importing-events-.md,0.0927702148607352,102-docs-automation-triggers-client-event-node-.md,0.0860873166338083,109-docs-automation-conditions-client-event-filter-node-.md,0.8007413744926453,255-docs-campaign-recommendations-v2-creating-recommendation-campaign-.md,0.7450711727142334,92-docs-analytics-i_events-parameter-operators-.md,0.7317794114351273
